county,flood_events,flood_rate,avg_rainfall,elevation_m
Abiemnhom,0,0.0,71.8864,397.9215
Abyei,0,0.0,65.6302,406.0608
Akobo,0,0.0,80.9054,411.0554
Aweil Centre,0,0.0,85.6969,510.6665
Aweil East,0,0.0,68.8229,419.4987
Aweil North,0,0.0,68.2427,453.466
Aweil South,6,0.0333,74.199,422.746
Aweil West,0,0.0,73.0799,473.9591
Awerial,39,0.2167,75.5269,432.0881
Ayod,44,0.2444,72.572,403.7718
Baliet,0,0.0,69.225,397.0739
Bor South,8,0.0444,79.9351,427.7383
Budi,0,0.0,83.7188,978.4742
Canal/Pigi,3,0.0167,75.0126,402.761
Cueibet,0,0.0,83.5394,429.0117
Duk,48,0.2667,73.813,410.9374
Ezo,0,0.0,115.9818,612.6842
Fangak,8,0.0444,70.6508,401.2322
Fashoda,3,0.0167,69.212,398.5078
Gogrial East,0,0.0,73.5592,407.0971
Gogrial West,6,0.0333,74.6379,416.2204
Guit,35,0.1944,72.3452,397.808
Ibba,0,0.0,119.3901,665.8983
Ikotos,0,0.0,94.9459,1145.3608
Juba,0,0.0,93.4281,608.0287
Jur River,0,0.0,90.3744,476.118
Kajo-keji,0,0.0,111.4655,854.6975
Kapoeta East,0,0.0,65.1829,597.6704
Kapoeta North,0,0.0,75.5764,493.369
Kapoeta South,0,0.0,72.8332,864.5411
Koch,0,0.0,74.7081,394.0806
Lafon,0,0.0,78.4947,492.6716
Lainya,0,0.0,109.8355,865.3175
Leer,1,0.0056,73.0985,398.4327
Longochuk,0,0.0,73.9056,439.9474
Luakpiny/Nasir,0,0.0,71.5311,403.1202
Maban,0,0.0,69.5014,437.5139
Magwi,0,0.0,106.6578,811.059
Maiwut,0,0.0,77.808,469.0645
Malakal,94,0.5222,67.9277,399.6037
Manyo,29,0.1611,50.3168,393.8045
Maridi,0,0.0,113.0733,700.204
Mayendit,6,0.0333,74.2894,395.747
Mayom,37,0.2056,73.3683,394.9667
Melut,24,0.1333,62.4831,392.3288
Morobo,0,0.0,119.8656,1070.1416
Mundri East,0,0.0,90.431,584.938
Mundri West,0,0.0,100.5838,645.3333
Mvolo,0,0.0,88.4881,513.3892
Nagero,0,0.0,108.7233,549.4703
Nyirol,0,0.0,74.7122,403.5954
Nzara,0,0.0,117.5749,608.1113
Panyijiar,85,0.4722,69.6405,406.0564
Panyikang,0,0.0,71.1786,401.8678
Pariang,1,0.0056,73.1023,407.9285
Pibor,0,0.0,93.6068,488.729
Pochalla,0,0.0,94.6129,435.9191
Raga,0,0.0,92.8819,623.2852
Renk,0,0.0,52.0111,404.7343
Rubkona,47,0.2611,73.4442,396.8525
Rumbek Centre,0,0.0,80.546,418.6127
Rumbek East,0,0.0,78.8432,433.5718
Rumbek North,0,0.0,78.3673,405.5427
Tambura,0,0.0,116.0306,607.8815
Terekeka,1,0.0056,79.3644,468.5874
Tonj East,0,0.0,76.6069,406.9908
Tonj North,0,0.0,77.1307,404.4565
Tonj South,0,0.0,89.5191,464.2549
Torit,0,0.0,101.6215,796.9713
Twic,1,0.0056,67.2542,404.3839
Twic East,56,0.3111,74.2137,416.3873
Ulang,3,0.0167,73.4602,404.1967
Uror,0,0.0,78.7518,413.5897
Wau,0,0.0,102.0953,532.1439
Wulu,0,0.0,95.134,516.0018
Yambio,0,0.0,117.1558,634.6061
Yei,0,0.0,116.9221,845.3705
Yirol East,64,0.3556,71.6903,426.5219
Yirol West,0,0.0,77.8767,453.2401
